Inicio, Continuar, Recep_Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion, Num_Muestras
606241513730557, 606242887649244, 606242887659781, 606242887673503, 606242887707040, 606242898524542, 606242898526468, 606242898769520, 8192
606242898957666, 606244253214401, 606244253231863, 606244253232826, 606244253318585, 606244263037840, 606244263039636, 606244263136172, 8191
606244263303763, 606245618550152, 606245618567893, 606245618568856, 606245618692854, 606245628416202, 606245628418110, 606245628497035, 8192
606245628674903, 606246983704646, 606246983723498, 606246983724350, 606246983816386, 606246993540382, 606246993542178, 606246993619511, 8191
606246993796823, 606248352126732, 606248352143509, 606248352144343, 606248352238675, 606248361957171, 606248361958986, 606248362038281, 8192
606248362991474, 606249713540067, 606249713557492, 606249713558437, 606249713656028, 606249723706595, 606249723708650, 606249723795612, 8191
606249723985795, 606251079549440, 606251079565199, 606251079566162, 606251079666179, 606251089382027, 606251089383805, 606251089458971, 8192
606251089632302, 606252444727156, 606252444747026, 606252444747822, 606252444843173, 606252454561725, 606252454563558, 606252454640502, 8191
606252454811407, 606253809376767, 606253809396045, 606253809396859, 606253809491525, 606253819470981, 606253819472740, 606253819554721, 8192
606253819712219, 606255175211475, 606255175228698, 606255175229735, 606255175324400, 606255185045989, 606255185047804, 606255185118784, 8191
606255185225413, 606256540566986, 606256540585449, 606256540586356, 606256540677596, 606256550395462, 606256550397296, 606256550470943, 8192
606256550576219, 606257905709221, 606257905728239, 606257905729406, 606257905823719, 606257915618419, 606257915620437, 606257915702380, 8191
606257915804787, 606259270367647, 606259270384258, 606259270385202, 606259270478923, 606259280203345, 606259280205142, 606259280282363, 8192
606259280389880, 606260636215188, 606260636233521, 606260636234336, 606260636331131, 606260646048720, 606260646050516, 606260646130701, 8191
606260646235885, 606262001668975, 606262001686234, 606262001687197, 606262001789344, 606262011504766, 606262011506544, 606262011602561, 8192
606262011734060, 606263366701619, 606263366718729, 606263366719581, 606263366819395, 606263376543836, 606263376545669, 606263376626427, 8191
606263376730630, 606264732079314, 606264732100424, 606264732101332, 606264732203738, 606264742489154, 606264742491209, 606264742565634, 8192
606264742701207, 606266097214197, 606266097231345, 606266097232159, 606266097330195, 606266107048969, 606266107050877, 606266107130783, 8191
606266107233875, 606267462544411, 606267462559837, 606267462560670, 606267462657428, 606267472380424, 606267472382202, 606267472453071, 8192
606267472556589, 606268827708090, 606268827721997, 606268827722849, 606268827817348, 606268837537418, 606268837539196, 606268837617973, 8191
606268837727194, 606270193050452, 606270193068081, 606270193068915, 606270193174099, 606270202887391, 606270202889243, 606270202969057, 8192
606270203073907, 606271557548879, 606271557564768, 606271557565601, 606271557664878, 606271567374911, 606271567376782, 606271567456336, 8191
606271567563502, 606272923549141, 606272923567307, 606272923568122, 606272923665140, 606272933386432, 606272933388228, 606272933461987, 8192
606272933564152, 606274288732672, 606274288751468, 606274288752301, 606274288851578, 606274298565444, 606274298567296, 606274298643851, 8191
606274298746183, 606275653372931, 606275653389060, 606275653389856, 606275653484096, 606275663202222, 606275663204018, 606275663290017, 8192
606275663386016, 606277019211027, 606277019226657, 606277019227768, 606277019324489, 606277029045559, 606277029047356, 606277029119984, 8191
606277029222779, 606278384569611, 606278384585185, 606278384586000, 606278384686666, 606278394403551, 606278394405347, 606278394480198, 8192
606278394583863, 606279749745808, 606279749762919, 606279749763919, 606279749864844, 606279759977854, 606279759979817, 606279760089834, 8191
606279760203000, 606281114445159, 606281114460770, 606281114461844, 606281114559306, 606281124288432, 606281124290117, 606281124386449, 8192
606281124623243, 606282480223683, 606282480239220, 606282480240275, 606282480337570, 606282490054141, 606282490056029, 606282490139343, 8191
606282490231768, 606283845546137, 606283845563600, 606283845564396, 606283845659747, 606283855378169, 606283855379966, 606283855454094, 8192
606283855554926, 606285210707557, 606285210722834, 606285210723668, 606285210824055, 606285220548052, 606285220549885, 606285220624347, 8191
606285220728012, 606286576066715, 606286576089381, 606286576090288, 606286576188750, 606286585907524, 606286585909320, 606286585985097, 8192
606286586087448, 606287941212449, 606287941230430, 606287941231375, 606287941329059, 606287951042351, 606287951044166, 606287951123795, 8191
606287951227794, 606289306549477, 606289306568181, 606289306569162, 606289306665217, 606289316390639, 606289316392861, 606289316462231, 8192
606289316570340, 606290671710989, 606290671729452, 606290671730359, 606290671825358, 606290681555521, 606290681557299, 606290681626835, 8191
606290681727908, 606292037045944, 606292037061314, 606292037062369, 606292037158146, 606292046878457, 606292046880161, 606292046955512, 8192
606292047059473, 606293401530778, 606293401549574, 606293401550630, 606293401646369, 606293411357644, 606293411359532, 606293411455031, 8191
606293411678918, 606294767571113, 606294767590002, 606294767590909, 606294767692593, 606294777419163, 606294777421034, 606294777499051, 8192
606294777601124, 606296132736791, 606296132753976, 606296132754902, 606296132853197, 606296142567379, 606296142569212, 606296142646878, 8191
606296142738432, 606297497374476, 606297497391328, 606297497392513, 606297497490086, 606297507201990, 606297507203675, 606297507292377, 8192
606297507402821, 606298863225628, 606298863244109, 606298863245202, 606298863344052, 606298873069511, 606298873071474, 606298873142307, 8191
606298873250602, 606300228563267, 606300228582100, 606300228582934, 606300228677914, 606300238388521, 606300238390336, 606300238464076, 8192
606300238562019, 606301593744464, 606301593761686, 606301593762482, 606301593858611, 606301603881177, 606301603883196, 606301604104452, 8191
606301604206396, 606302958358778, 606302958377852, 606302958378815, 606302958469351, 606302968193681, 606302968195532, 606302968277068, 8192
606302968384789, 606304324233281, 606304324250874, 606304324251689, 606304324347521, 606304334062128, 606304334063943, 606304334135276, 8191
606304334233552, 606305689550143, 606305689570235, 606305689571069, 606305689672660, 606305699389323, 606305699391397, 606305699469989, 8192
606305699566543, 606307054713488, 606307054728173, 606307054728988, 606307054829579, 606307064555668, 606307064557538, 606307064633945, 8191
606307064735499, 606308420063738, 606308420089442, 606308420090275, 606308420190366, 606308429908270, 606308429910122, 606308429980676, 8192
606308430083934, 606309785233231, 606309785250194, 606309785251194, 606309785347156, 606309795077133, 606309795079004, 606309795204354, 8191
606309795317704, 606311152055612, 606311152130815, 606311152133018, 606311152332183, 606311181544634, 606311181549559, 606311181698132, 8192
606311181922333, 606312515182092, 606312515237924, 606312515240239, 606312515419422, 606312544617799, 606312544622781, 606312544780723, 8191
606312545013221, 606313881053150, 606313881069724, 606313881070687, 606313881169668, 606313890885868, 606313890887682, 606313890962015, 8192
606313891069921, 606315246215051, 606315246234810, 606315246235754, 606315246329068, 606315256083934, 606315256086008, 606315256248617, 8191
606315256444393, 606316611572393, 606316611589356, 606316611590152, 606316611689818, 606316621743162, 606316621745217, 606316621823124, 8192
606316621927215, 606317976708146, 606317976725127, 606317976725849, 606317976824570, 606317986544066, 606317986545974, 606317986622862, 8191
606317986719712, 606319341407607, 606319341426921, 606319341427736, 606319341552179, 606319351275083, 606319351277046, 606319351359582, 8192
606319351467432, 606320707215814, 606320707234314, 606320707235277, 606320707335572, 606320717063513, 606320717065365, 606320717136567, 8191
606320717347046, 606322072564916, 606322072582434, 606322072583527, 606322072683322, 606322082407022, 606322082408911, 606322082488447, 8192
606322082591834, 606323437717409, 606323437732742, 606323437733557, 606323437829259, 606323447561496, 606323447563348, 606323447638699, 8191
606323447736124, 606324802372667, 606324802391611, 606324802392426, 606324802489888, 606324812217921, 606324812219773, 606324812308253, 8192
606324812418215, 606326168228318, 606326168245392, 606326168246484, 606326168347965, 606326178068257, 606326178070091, 606326178143071, 8191
606326178242922, 606327533553216, 606327533571623, 606327533572457, 606327533670715, 606327543390915, 606327543392711, 606327543470951, 8192
606327543572320, 606328898717135, 606328898735875, 606328898736671, 606328898833115, 606328908558778, 606328908560481, 606328908643480, 8191
606328908750146, 606330263371393, 606330263389003, 606330263389837, 606330263484928, 606330273208647, 606330273210369, 606330273293109, 8192
606330273399589, 606331629239506, 606331629257284, 606331629258284, 606331629353135, 606331639070205, 606331639072001, 606331639142741, 8191
606331639265647, 606332994530201, 606332994543312, 606332994544016, 606332994640181, 606333004361511, 606333004363344, 606333004444103, 8192
606333004556694, 606334359711490, 606334359728545, 606334359729397, 606334359825525, 606334369546003, 606334369547836, 606334369621539, 8191
606334369717909, 606335725043554, 606335725061425, 606335725062517, 606335725161738, 606335734879531, 606335734881308, 606335734956771, 8192
606335735056899, 606337090210028, 606337090230102, 606337090230954, 606337090326582, 606337100048393, 606337100050097, 606337100125244, 8191
606337100236336, 606338455556222, 606338455573685, 606338455574555, 606338455669980, 606338465637399, 606338465639714, 606338465720547, 8192
606338465820768, 606339820044056, 606339820073685, 606339820074648, 606339820172295, 606339829885866, 606339829887662, 606339829969624, 8191
606339830075382, 606341186049316, 606341186068557, 606341186069501, 606341186169222, 606341195890052, 606341195891867, 606341195964551, 8192
606341196072105, 606342551225142, 606342551242679, 606342551243605, 606342551338048, 606342561061637, 606342561063396, 606342561139895, 8191
606342561243709, 606343916567484, 606343916585169, 606343916586187, 606343916674131, 606343926391386, 606343926393164, 606343926470089, 8192
606343926565051, 606345281725735, 606345281741402, 606345281742402, 606345281842030, 606345291559879, 606345291561693, 606345291633526, 8191
606345291859468, 606346646376845, 606346646396141, 606346646396937, 606346646492862, 606346656214766, 606346656216580, 606346656296154, 8192
606346656400597, 606348012232181, 606348012250384, 606348012251421, 606348012345568, 606348022063139, 606348022064935, 606348022140804, 8191
606348022237970, 606349377552282, 606349377569282, 606349377570264, 606349377666077, 606349387383092, 606349387384796, 606349387459221, 8192
606349387556090, 606350742714478, 606350742733404, 606350742734182, 606350742832310, 606350752557029, 606350752558825, 606350752634972, 8191
606350752730786, 606352108052320, 606352108085487, 606352108086431, 606352108185634, 606352117904167, 606352117905982, 606352117989499, 8192
606352118097350, 606353473217757, 606353473234757, 606353473236034, 606353473333255, 606353483050067, 606353483051863, 606353483126566, 8191
606353483223620, 606354838541043, 606354838559080, 606354838559988, 606354838655709, 606354848377427, 606354848379205, 606354848451408, 8192
606354848558721, 606356203707239, 606356203724720, 606356203725683, 606356203817682, 606356213536660, 606356213538438, 606356213623381, 8191
606356213728880, 606357569051933, 606357569067340, 606357569068340, 606357569166450, 606357578886465, 606357578888242, 606357578965649, 8192
606357579068129, 606358933540470, 606358933559340, 606358933560247, 606358933656228, 606358943367631, 606358943369428, 606358943450630, 8191
606358943550907, 606360299554693, 60636029957